epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,562.987,0.78167,0.49947,1.02683,0.90589,0.84162,0.90627,0.58548,1.19338,0.64079,1.3965,0.000230979,0.000230979,0.000230979
43,576.217,0.79327,0.50373,1.03509,0.89785,0.83756,0.89304,0.57593,1.23362,0.66867,1.43099,0.000219198,0.000219198,0.000219198
44,590.283,0.73828,0.46421,1.02211,0.87944,0.88307,0.90291,0.58573,1.21665,0.63614,1.43381,0.000207417,0.000207417,0.000207417
45,604.699,0.76484,0.4893,1.02492,0.8821,0.89244,0.90703,0.58458,1.21403,0.62462,1.4225,0.000195636,0.000195636,0.000195636
46,617.804,0.70608,0.44872,0.98996,0.88918,0.90133,0.9142,0.58418,1.20651,0.63361,1.41018,0.000183855,0.000183855,0.000183855
47,631.043,0.72404,0.46196,1.01063,0.92018,0.89696,0.9195,0.59289,1.22163,0.61981,1.43057,0.000172074,0.000172074,0.000172074
48,646.013,0.70756,0.44707,1.0058,0.9058,0.89624,0.91303,0.58897,1.23658,0.60272,1.44023,0.000160293,0.000160293,0.000160293
49,660.21,0.66727,0.42652,0.99021,0.91044,0.88405,0.9242,0.60277,1.21075,0.59854,1.42283,0.000148512,0.000148512,0.000148512
50,672.307,0.68456,0.44801,0.99105,0.91422,0.88717,0.9281,0.59207,1.23391,0.59048,1.43398,0.000136731,0.000136731,0.000136731
51,700.391,0.68892,0.43302,0.9736,0.9168,0.89726,0.92423,0.59384,1.20202,0.58166,1.43945,0.00012495,0.00012495,0.00012495
52,712.099,0.60446,0.37993,0.92973,0.91835,0.87825,0.9144,0.59478,1.19753,0.58683,1.43629,0.000113169,0.000113169,0.000113169
53,723.596,0.58144,0.35591,0.9144,0.93439,0.85906,0.91441,0.59955,1.20522,0.60784,1.43413,0.000101388,0.000101388,0.000101388
54,736.572,0.56067,0.3522,0.89016,0.9339,0.85986,0.9111,0.60341,1.16408,0.61263,1.40714,8.9607e-05,8.9607e-05,8.9607e-05
55,748.183,0.56168,0.34135,0.91545,0.93848,0.85353,0.91811,0.59364,1.20574,0.61198,1.44685,7.7826e-05,7.7826e-05,7.7826e-05
56,759.655,0.54734,0.3327,0.90363,0.94862,0.86281,0.92283,0.60397,1.18788,0.58042,1.44838,6.6045e-05,6.6045e-05,6.6045e-05
57,771.463,0.54499,0.32707,0.91099,0.91889,0.88894,0.92535,0.60689,1.17217,0.56247,1.43942,5.4264e-05,5.4264e-05,5.4264e-05
58,782.593,0.54428,0.33367,0.90693,0.94403,0.87136,0.92223,0.612,1.19011,0.55481,1.45279,4.2483e-05,4.2483e-05,4.2483e-05
59,794.236,0.50283,0.30754,0.87893,0.95155,0.87202,0.92602,0.61025,1.20144,0.55249,1.46005,3.0702e-05,3.0702e-05,3.0702e-05
60,805.699,0.50596,0.31126,0.88356,0.94874,0.87382,0.92427,0.61413,1.2029,0.5512,1.46791,1.8921e-05,1.8921e-05,1.8921e-05
